name,vr,teff,logg,feh,teffm,loggm,fehm,ca4227,g4300,hgama,hgamf,fe4383,ca4455,fe4531,fe4668,hbeta,fe5015,mg1,mg2,mgb,fe5270,fe5335,fe5406,fe5709,fe5782,nad,tio1,tio2,sp_type,spec,q_sp_type,q_logg,q_feh,q_vr,logg_m,feh_m
HD006920,-14.28,5808,3.47,-0.11,5910,3.7,-0.11,0.5304,4.3415,-1.553,0.9104,2.0551,0.6062,2.4508,2.0975,2.8682,3.8954,0.0115,0.068,1.3146,1.5354,1.2766,0.7213,0.5418,0.1963,1.1986,0.0085,0.0017,F8V,F,C,1,3,0,3.7,-0.11
HD008724,-113.52,4581,1.34,-1.76,4747,1.57,-1.73,0.4724,6.283,-4.8682,-1.5028,1.553,0.4307,1.8915,0.5586,1.1745,2.6183,0.0184,0.0558,0.8782,1.2161,0.8371,0.4416,0.4091,0.0214,0.5043,0.0038,0.002,G5,G,D,1,3,0,1.57,-1.73
HD009562,-15.02,5821,3.98,0.15,5777,3.86,0.13,0.3287,4.4711,-2.2812,0.3483,2.8754,0.7204,2.6811,3.8607,2.8328,4.0723,0.0131,0.094,2.1143,2.0005,1.7047,0.8442,0.6374,0.4095,1.1306,0.0042,0.0069,G1V,G,C,1,4,0,3.86,0.13
HD009562,-15.21,5821,3.98,0.15,5797,3.88,0.13,0.2535,4.2448,-2.3738,0.2974,2.7149,0.7154,2.7191,3.8118,2.8025,4.01,0.0204,0.1048,2.1244,2.0437,1.7359,0.857,0.6251,0.4374,1.2043,0.0124,0.0144,G1V,G,C,1,4,0,3.88,0.13
HD009927,16.09,4375,2.23,0,4343,2.27,0.19,1.9055,6.8582,-11.0673,-3.6186,8.2522,2.0739,4.4425,9.3247,1.0845,7.1476,0.1603,0.2965,3.8061,4.0544,3.6665,2.6844,1.6216,1.2135,3.2845,0.0128,0.0436,K3-IIICN0.5,K,B,1,2,0,2.27,0.19
HD009927,16.09,4375,2.23,0,4342,2.27,0.19,1.9041,6.8402,-11.0547,-3.6266,8.2297,2.0607,4.4417,9.3318,1.0802,7.1529,0.1602,0.296,3.8149,4.0576,3.6536,2.7133,1.629,1.2012,3.2662,0.0131,0.0438,K3-IIICN0.5,K,B,1,2,0,2.27,0.19
HD010145,17.75,5673,4.4,-0.01,5591,4.24,-0.06,0.9013,5.2795,-4.4284,-0.7362,3.8392,0.7654,2.5748,3.5531,2.3257,3.9343,0.0277,0.144,3.2875,2.1849,1.7614,1.0616,0.7004,0.3592,1.3407,0.0032,0.0036,G6,G,D,1,2,0,4.24,-0.06
HD010307,3.96,5862,4.27,0,5794,4.11,-0.02,0.6955,4.6672,-2.5827,0.3615,3.0246,0.6787,2.3825,2.9808,2.807,3.6372,0.0156,0.1058,2.4624,1.8913,1.5845,0.7995,0.6277,0.3535,1.1309,0.002,0.0042,G1V,G,B,1,4,0,4.11,-0.02
HD010380,0.52,4113,1.24,-0.24,4199,1.79,-0.07,2.4879,6.4856,-10.3682,-3.0355,7.609,2.0493,4.5905,6.1167,0.7471,6.6614,0.167,0.3029,3.6832,3.8491,3.5245,2.5875,1.5424,1.2554,4.1223,0.0218,0.0636,K3III,K,C,1,3,0,1.79,-0.07
HD010476,-33.49,5206,4.34,-0.03,5240,4.63,0.04,1.6749,6.081,-7.9487,-2.6184,6.1288,1.2052,3.381,4.5903,1.5534,4.6542,0.0815,0.2703,5.2751,3.1991,2.7252,1.7155,1.0211,0.5262,2.9481,0.0044,0.0048,K1V,K,B,1,3,0,4.63,0.04
HD010700,-16.64,5313,4.32,-0.52,5415,4.54,-0.49,1.1059,5.2943,-5.2256,-1.5189,3.4791,0.6775,2.4599,2.0867,1.5906,3.1079,0.0503,0.1944,4.3378,2.0557,1.6394,1.0238,0.5902,0.3779,2.5301,0.0274,0.0044,G8V,G,B,1,4,0,4.54,-0.49
HD010780,2.71,5369,4.31,0.05,5394,4.56,0.08,1.4008,5.4968,-6.5076,-1.8414,5.3843,1.0948,3.1004,4.3509,1.7846,4.4455,0.0458,0.2111,4.5498,3.0109,2.4463,1.5856,0.8864,0.5291,2.0891,-0.0012,0.0029,K0V,K,C,1,3,0,4.56,0.08
HD012235,-18.5,6061,4.29,0.24,5848,3.88,0.18,0.54,4.4727,-1.8531,0.8311,2.883,0.7317,2.6502,3.9972,3.2041,4.4638,0.0215,0.101,2.0815,2.0613,1.6501,0.8523,0.6449,0.4413,1.1909,-0.0004,0.0048,G2IV,G,C,1,2,0,3.88,0.18
HD012235,-18.54,6061,4.29,0.24,5846,3.89,0.18,0.5555,4.5,-1.8883,0.8197,2.8668,0.7332,2.6451,3.9883,3.189,4.491,0.0216,0.1014,2.0928,2.0473,1.649,0.8657,0.643,0.4346,1.1971,-0.0006,0.0045,G2IV,G,C,1,2,0,3.89,0.18
HD012235,-18.44,6061,4.29,0.24,5891,3.92,0.2,0.3757,4.1606,-1.6661,0.7924,2.6022,0.7666,2.6512,3.9778,3.1897,4.3788,0.0268,0.1027,2.0246,2.0385,1.7346,0.7595,0.6109,0.4292,2.0446,0.0168,0.0078,G2IV,G,C,1,2,0,3.92,0.2
HD013530,41.8,4772,2.6,-0.54,4834,2.66,-0.57,-0.0997,6.899,-7.0403,-2.4327,4.0289,0.9755,3.0409,3.6718,1.3714,4.3323,0.059,0.1544,2.7995,2.2538,1.7953,1.1533,0.8413,0.4398,2.1228,0.0063,0.0117,G8.5IIIbFe-2,G,C,1,2,0,2.66,-0.57
