name,vr,teff,logg,feh,teffm,loggm,fehm,ca4227,g4300,hgama,hgamf,fe4383,ca4455,fe4531,fe4668,hbeta,fe5015,mg1,mg2,mgb,fe5270,fe5335,fe5406,fe5709,fe5782,nad,tio1,tio2,sp_type,spec,q_sp_type,q_logg,q_feh,q_vr,logg_m,feh_m
HD037124,-23.08,5602,4.53,-0.4,5569,4.42,-0.44,0.679,5.2335,-4.004,-1.0117,3.1116,0.6642,2.4733,2.1484,2.0561,3.2614,0.025,0.1455,3.6103,1.7012,1.5134,0.6845,0.4297,0.2878,1.2562,0.007,0.0018,G4IV-V,G,D,1,4,0,4.42,-0.44
HD037124,-23.1,5602,4.53,-0.4,5579,4.4,-0.44,0.748,5.2264,-4.0261,-0.9996,3.1243,0.614,2.3584,2.1264,2.0461,3.1776,0.0249,0.1457,3.589,1.6956,1.5179,0.7205,0.4717,0.2669,1.2832,0.0069,0.0029,G4IV-V,G,D,1,4,0,4.4,-0.44
HD038230,-29.23,5063,4.52,-0.1,5217,4.53,-0.05,1.3242,5.8035,-7.2058,-2.5011,5.5697,1.1687,3.1679,4.8026,1.5534,4.4854,0.0834,0.2756,5.6665,3.1621,2.4534,1.5611,0.77,0.5066,2.712,0.0113,0.0085,K0V,K,C,1,0,0,4.53,-0.05
HD038528,999.99,7954,3.76,-0.1,10840,4.01,-0.23,0.0254,-2.3355,10.3326,7.841,-0.9638,-0.1211,0.1707,-0.5666,7.9302,0.1695,0.0074,0.0137,0.2305,0.0321,0.0997,-0.0397,-0.0993,0.1452,0.8585,0.0056,0.0031,B9/9.5IV,B,D,1,0,-1,4.01,-0.23
HD038650,999.99,10251,3.93,0,11138,3.97,-0.3,0.0398,-2.5226,10.1197,7.4498,-1.2526,-0.0801,0.079,-0.4881,7.4815,-0.0031,0.0158,0.0184,0.1047,0.0282,0.039,0.0119,-0.0619,0.006,0.6013,0.0102,0.0057,B8/9V,B,D,1,0,-1,3.97,-0.3
HD038798,999.99,9867,3.93,-0.1,9860,3.76,-0.73,0.1024,-3.1772,12.8869,9.047,-1.8801,-0.1667,0.1195,-0.6054,8.8988,0.1673,0.0088,0.0202,0.285,0.0455,0.1059,0.0114,-0.0545,0.1146,0.5103,-0.0006,0.005,A0V,A,C,1,0,-1,3.76,-0.73
HD038856,999.99,16901,4.32,0,18364,3.17,-0.05,-0.0669,-1.8167,6.7093,5.0545,-0.1941,0.5642,0.0014,0.038,3.5418,0.2708,0.0172,0.0112,-0.1199,0.0197,0.0981,-0.002,0.0094,0.0252,0.0154,0.0037,0.0036,B5III,B,C,0,0,-1,3.17,-0.05
HD039082,11.88,9437,3.7,0,9438,3.4,0.39,-0.2614,-2.507,11.7085,8.5297,-1.5029,0.0897,1.0085,-1.4692,8.7279,1.7594,0.0175,0.0655,0.1207,0.1064,0.2917,0.9494,0.004,0.6865,0.7709,0.0056,0.0038,ApEuCrSr,A,D,1,0,0,3.4,0.39
HD039773,34.85,10998,3.83,0,10760,4.21,0.41,-0.0279,-2.1446,9.1252,6.8293,-0.9463,-0.001,0.3443,-0.4838,6.7615,0.6583,0.0179,0.029,0.1338,-0.0694,0.1072,-0.0457,0.005,0.1136,0.5483,0.0066,0.0018,B9III,B,C,1,0,0,4.21,0.41
HD040616,76.58,5881,4,-0.22,5735,3.93,-0.33,0.4235,4.6836,-2.5472,0.0136,2.6218,0.494,2.2673,1.7236,2.5277,3.1413,0.0105,0.0779,1.7865,1.4767,1.2956,0.6139,0.4315,0.2602,1.0044,0.0112,0.0047,G3V,G,C,1,2,0,3.93,-0.33
HD040616,76.58,5881,4,-0.22,5755,3.99,-0.33,0.3652,4.4588,-2.3989,-0.0254,2.5508,0.5413,2.529,1.8408,2.5401,3.1591,0.0095,0.076,1.8165,1.4495,1.2288,0.6307,0.3851,0.2596,0.9463,0.0078,0.0055,G3V,G,C,1,2,0,3.99,-0.33
HD040650,-76.83,5981,4.25,-0.18,5932,4.13,-0.15,0.5909,4.2269,-1.419,0.9266,2.3501,0.5675,2.0971,1.9683,3.111,3.3113,0.0086,0.0799,1.9747,1.6282,1.2125,0.6786,0.5565,0.1821,1.0628,0.0118,0.0051,F5,F,E,1,0,0,4.13,-0.15
HD040964,3,10913,3.93,0,11126,3.98,-0.25,0.0336,-2.0073,9.7386,7.1949,-1.0682,-0.0069,0.1918,-0.1931,7.1375,0.352,0.0128,0.0204,0.1442,0.031,0.1545,-0.0046,-0.0269,0.0493,0.6386,0.0061,0.0035,B8V,B,C,1,0,0,3.98,-0.25
HD041330,-15.64,5901,4.21,-0.22,5801,4.01,-0.22,0.6369,4.5356,-2.1565,0.4512,2.336,0.5483,2.2227,1.973,2.7,3.4086,0.0104,0.0878,2.0874,1.5458,1.3263,0.6634,0.5064,0.2285,0.7747,0.0087,0.0011,G0V,G,C,1,3,0,4.01,-0.22
HD041361,24.78,4601,2.66,0.06,4934,1.95,-0.13,0.0043,7.0339,-8.1967,-1.919,5.3608,1.2705,3.5957,6.0334,1.7649,6.41,0.0471,0.1189,1.5487,2.9706,2.1914,1.5811,1.1604,0.7497,1.7119,0.0102,0.0196,G7III:,G,D,1,0,0,1.95,-0.13
HD041361,24.35,4617,2.93,0.2,4916,2.01,-0.12,0.0757,6.6157,-7.2526,-1.881,4.7588,1.297,3.6976,6.0913,1.7222,6.3543,0.0467,0.1187,1.5517,2.9167,2.3272,1.6016,1.1879,0.6944,1.4507,-0.0009,0.0192,G7III:,G,D,1,0,0,2.01,-0.12
HD041380,14.68,4695,2.23,0,4764,2,-0.57,0.168,6.5022,-6.6885,-1.3373,4.5566,1.4154,3.8665,5.8161,2.0752,6.8553,0.0464,0.1137,1.316,2.8486,2.3117,1.5564,1.244,0.7196,1.4832,0.0023,0.0193,G6II,G,C,1,0,0,2,-0.57
HD041433,-11.01,4837,2.62,-0.2,5139,2.45,-0.07,0.1958,5.8795,-5.7401,-1.1954,4.029,1.1918,3.4452,5.3012,1.9244,5.8748,0.0321,0.1016,1.5026,2.6858,2.1504,1.3723,1.0157,0.6353,1.7868,0.0023,0.0145,G8/K0III,G,D,1,0,0,2.45,-0.07
HD041460,8.33,3839,1.52,-0.05,3774,1.81,0.16,3.3293,4.9347,-9.4506,-2.8568,8.288,2.6021,5.5956,10.6124,0.8324,7.8472,0.2507,0.4502,4.9529,4.15,4.4265,3.2626,1.2626,1.5472,6.8026,0.1383,0.3338,K5III,K,C,1,0,0,1.81,0.16
HD041501,74.9,10147,3.93,0,11756,4.01,-0.15,0.0002,-2.7184,9.2833,6.8595,-0.699,0.1081,0.1034,-0.2402,6.8158,0.1084,0.0084,0.0117,0.0331,-0.0192,0.0702,-0.0089,0.0006,0.0557,0.2859,0.0047,0.008,B9,B,E,1,0,0,4.01,-0.15
HD041547,-1.4,6995,3.57,-0.1,6921,3.91,-0.09,0.312,0.2714,6.2785,5.15,-0.1236,0.3238,1.813,0.5828,5.4216,2.7566,0.0008,0.0413,0.6815,1.1143,0.9191,0.3693,0.281,0.083,0.4485,0.0034,0.0039,F3V,F,C,1,0,0,3.91,-0.09
HD041547,-1.92,6995,4.02,-0.17,6913,3.91,-0.09,0.318,0.2224,6.2519,5.1295,-0.1147,0.3223,1.8007,0.5714,5.3991,2.7385,-0.0001,0.041,0.6932,1.1102,0.9092,0.3867,0.2423,0.0932,0.4343,0.0041,0.0042,F3V,F,C,1,0,0,3.91,-0.09
HD041593,-10.02,5309,4.42,0.02,5340,4.61,0.07,1.5549,5.3604,-6.6789,-1.8327,5.5566,1.1012,3.3405,4.2638,1.6203,4.6216,0.0497,0.2186,4.5003,3.131,2.6032,1.6587,0.8993,0.5626,2.4016,-0.0003,0.0037,K0V,K,E,1,3,0,4.61,0.07
HD041593,-9.86,5309,4.42,0.02,5423,4.71,0.1,1.5283,5.5548,-7.0873,-2.0163,5.8051,1.1363,3.1987,4.3061,1.6852,4.6704,0.0453,0.2135,4.5426,3.2688,2.4759,1.6906,0.9592,0.4529,2.0697,0.004,0.0073,K0V,K,E,1,3,0,4.71,0.1
HD041733,44.28,4546,1.47,-0.2,4304,2.32,0.15,1.605,5.2918,-9.1634,-2.7354,7.9259,2.011,4.2429,7.9305,0.9503,7.0071,0.1382,0.2827,3.7275,4.0889,3.774,2.7486,1.5688,1.324,3.9872,0.0077,0.0499,K2III,K,C,1,0,0,2.32,0.15
HD041770,-13.85,6800,3.85,0.36,7234,4.03,0.36,0.3344,0.4543,5.8952,5.1579,0.0976,0.6572,2.3939,0.7955,5.6485,3.8467,0.0111,0.0425,0.0978,1.4335,1.195,0.5812,0.3837,0.1495,1.3887,0.0019,0.0046,kF2hF5mF5(III)EuBa,F,D,1,0,0,4.03,0.36
HD041808,-9.52,11707,3.9,-0.12,11973,4.22,0.31,-0.0159,-1.6326,7.8338,6.1519,-0.6161,-0.0219,-0.023,-0.5468,6.108,0.0883,0.0173,0.0237,0.0297,-0.1636,0.0161,0.0695,0.0207,0.0481,0.3617,0.0031,0.004,B8/9Ib/II,B,D,1,0,0,4.22,0.31
HD042035,22.04,10237,3.5,0,10720,4.01,0.09,0.04,-2.4296,10.1678,7.7177,-0.8482,-0.044,0.1589,-0.4129,7.8316,0.3066,0.0162,0.024,0.2231,0.0491,0.0622,0.0492,-0.0434,0.0179,0.3149,0.0053,0.0038,B9II:,B,D,1,0,0,4.01,0.09
HD042092,32.82,9507,3.91,-0.47,9757,3.78,-0.68,0.0824,-2.9331,12.2441,8.5766,-1.7148,-0.1254,0.3224,-0.3669,8.4822,0.4409,0.0057,0.0199,0.3441,0.1574,0.2565,0.0252,-0.0024,0.0289,0.334,0.0053,0.0043,A2IV,A,C,1,0,0,3.78,-0.68
HD042092,32.82,9507,3.76,-0.1,9930,4.14,-0.2,0.1599,-1.8832,10.0135,7.5965,-0.5624,-0.0519,0.541,-0.3825,7.6913,0.94,0.0083,0.0303,0.495,0.3093,0.2777,0.0386,0.0417,0.0676,0.4809,0.0022,0.0023,A2IV,A,C,1,0,0,4.14,-0.2
HD042111,25.62,9621,3.95,-0.29,9942,4.1,-0.23,0.1351,-1.9714,9.9876,7.5773,-0.5694,-0.0981,0.6183,-0.4131,7.6809,0.9041,0.0079,0.0292,0.4464,0.3156,0.3077,-0.0021,-0.0214,0.0529,0.4845,0.004,0.004,B9V,B,C,1,0,0,4.1,-0.23
HD042256,102.41,4597,2.58,-0.3,4721,2.41,-0.34,0.2841,5.8642,-6.3627,-2.2417,4.6365,1.2864,3.3369,5.5556,1.2901,5.204,0.0718,0.1766,3.0338,2.7318,2.3328,1.5566,1.1391,0.706,1.6006,0.0022,0.0204,G8III/IV,G,D,1,0,0,2.41,-0.34
HD042278,-1.83,6995,4.24,-0.2,6642,4.01,-0.23,0.2049,0.1964,5.5199,4.7128,0.1038,0.1894,1.5064,0.117,4.916,2.1818,0.0019,0.0384,0.7161,0.881,0.7407,0.2768,0.146,0.0504,0.3512,0.0016,0.0024,F0IV,F,C,1,0,0,4.01,-0.23
HD042278,-1.82,6995,4.24,-0.2,6635,4.02,-0.23,0.2388,0.2088,5.5338,4.7476,0.1828,0.2021,1.5211,0.1756,4.9357,2.2002,0.0011,0.038,0.6924,0.9029,0.7175,0.2849,0.1461,0.0428,0.4123,0.0015,0.0023,F0IV,F,C,1,0,0,4.02,-0.23
HD042299,24.8,7625,3.93,-0.1,7688,3.99,-0.58,0.2149,-1.0528,9.1768,6.7552,-0.6521,0.191,1.4265,0.2292,6.7119,2.0035,-0.0036,0.0311,0.5042,0.8223,0.7209,0.2019,0.1541,0.0467,0.7227,0.003,0.0005,A3,A,E,1,0,0,3.99,-0.58
HD042317,48.12,4468,2.39,0,4585,2.58,0.13,0.8308,6.2469,-9.0481,-3.0006,6.7906,1.72,3.8192,8.4776,1.3126,6.4497,0.1072,0.2311,3.4454,3.5859,3.1229,2.2549,1.3717,1.052,2.7498,0.0038,0.0314,K0III,K,C,1,0,0,2.58,0.13
HD042353,18.64,11754,3.69,0,12919,4.15,0.58,-0.1216,-1.3419,7.0089,5.6162,-0.5608,0.0833,0.0746,-0.6365,5.5076,0.335,0.0158,0.0131,0.0903,-0.2948,0.1167,-0.1235,-0.0157,0.0203,0.2289,0.0019,-0.0026,B9Ib/II,B,C,1,0,0,4.15,0.58
HD042353,18.64,11754,3.69,0,12918,4.14,0.58,-0.1391,-1.2879,6.9199,5.5338,-0.4892,0.1263,0.041,-0.5871,5.483,0.2936,0.0144,0.012,0.074,-0.2883,0.0663,-0.118,0.0268,0.0299,0.2759,0.0034,-0.0046,B9Ib/II,B,C,1,0,0,4.14,0.58
HD042481,24.64,4519,1.47,-0.2,4243,2.13,0.09,2.4086,5.7846,-10.2941,-3.0241,8.1685,2.0505,4.3648,7.3642,0.8386,6.848,0.1478,0.2932,3.7592,4.0749,3.7427,2.7418,1.5589,1.303,3.3809,0.0102,0.059,K3III,K,C,1,0,0,2.13,0.09
HD042548,32.66,6400,3.99,-0.17,6401,3.92,-0.18,0.3522,0.9135,4.3364,4.0706,0.3908,0.2873,1.7605,0.7959,4.4805,2.5859,0.0053,0.0476,0.8471,1.0674,0.8785,0.3382,0.2904,0.093,0.5554,-0.0019,0.0033,F0,F,E,1,0,0,3.92,-0.18
HD042597,6.2,24530,3.64,0,19795,3.45,-0.06,-0.0181,-0.9634,4.3657,3.674,0.303,0.6952,-0.0914,0.279,3.6467,1.3182,0.0122,0.0086,-0.171,-0.0221,-0.015,-0.0427,-0.0373,0.0586,0.2763,0.0044,0.0022,B1V,B,C,1,0,0,3.45,-0.06
HD042618,-53.53,5726,4.58,-0.16,5702,4.28,-0.15,0.7838,4.9148,-3.5629,-0.2947,3.1517,0.6884,2.2971,2.7881,2.4509,3.3308,0.0211,0.1229,2.8264,1.9156,1.5899,0.8708,0.6126,0.3021,1.5024,0.0065,0.0037,G4V,G,C,1,2,0,4.28,-0.15
HD042618,-53.51,5726,4.58,-0.16,5757,4.35,-0.13,0.5386,4.9148,-3.3754,-0.4406,3.2977,0.7035,2.3041,2.4201,2.5201,3.5194,0.0128,0.1122,2.8443,1.9311,1.5266,0.9492,0.6536,0.2731,1.3519,0.0132,0.0065,G4V,G,C,1,2,0,4.35,-0.13
HD042773,4.21,4017,1.39,-0.07,3862,1.92,0.15,4.0032,5.24,-10.6568,-3.4192,8.3715,2.5866,5.4062,9.994,0.7123,7.7318,0.2603,0.445,4.8747,4.3059,4.5319,3.2897,1.3314,1.5881,6.4713,0.0945,0.2552,K5,K,E,1,0,0,1.92,0.15
HD042787,20.71,3910,1.2,-0.2,3578,1.52,0.01,3.9096,4.9027,-8.5654,-2.3026,7.0078,2.542,5.4314,10.2912,1.2887,8.1623,0.2039,0.4591,5.9161,3.5044,3.7956,2.8486,0.6709,1.0905,3.4025,0.2283,0.5019,M2III,M,C,1,0,0,1.52,0.01
HD042807,5.79,5737,4.39,0,5689,4.39,-0.05,0.9327,4.8124,-3.9416,-0.3845,3.6429,0.7377,2.6024,3.1842,2.1945,3.6765,0.0187,0.1286,2.9874,2.2049,1.7852,1.0439,0.6092,0.3876,1.4234,0.006,0.0014,G5V,G,C,1,0,0,4.39,-0.05
HD042807,6.04,5737,4.39,0,5723,4.43,-0.04,0.8483,4.8713,-4.0204,-0.5658,3.6172,0.7015,2.5983,2.9309,2.3162,3.911,0.018,0.1266,2.9354,2.2373,1.8041,0.9918,0.5512,0.318,1.3437,0.0083,0.004,G5V,G,C,1,0,0,4.43,-0.04
HD042983,-25.67,4633,3.23,0,4710,3.35,-0.09,1.0465,5.8235,-7.816,-2.7717,6.147,1.4558,3.3408,6.9947,1.1747,4.9643,0.1231,0.2792,4.8224,3.2171,2.7792,1.9372,1.1851,0.7928,3.1363,0.0109,0.0169,K0IV,K,C,1,0,0,3.35,-0.09
HD043021,9.69,7822,3.85,-0.62,7692,4.17,-0.58,0.1213,-2.1766,10.8051,7.3647,-1.7447,-0.0571,0.402,-0.3431,6.9935,0.3622,-0.0113,0.0121,0.5959,0.1983,0.2757,-0.0194,0.0308,0.0164,0.554,-0.0004,0.0034,A2III,A,C,1,0,0,4.17,-0.58
HD043039,20.64,4659,2.44,-0.33,4752,2.38,-0.31,0.5996,6.6169,-7.5699,-2.5392,4.9342,1.2643,3.3897,5.0437,1.2871,5.1815,0.062,0.1518,2.5069,2.7627,2.2825,1.5071,1.062,0.6786,1.7019,0.0045,0.0152,G8.5IIIb,G,B,1,2,0,2.38,-0.31
HD043083,16.81,4862,2.69,-0.07,5024,2.68,-0.1,0.3358,5.9202,-6.3652,-1.5718,4.4817,1.1251,3.2898,5.1654,1.7606,5.3813,0.0353,0.1175,1.9625,2.7114,2.1425,1.443,1.0922,0.6297,1.4734,0.0083,0.0141,G8III,G,C,1,0,0,2.68,-0.1
HD043188,25.68,4676,2.6,-0.22,4806,2.51,-0.25,0.6769,6.5081,-7.6385,-2.4851,4.8549,1.3086,3.4252,4.82,1.3459,5.2314,0.0569,0.1488,2.5363,2.7299,2.1872,1.5389,1.1156,0.6296,1.1771,-0.0024,0.0191,K0,K,E,1,0,0,2.51,-0.25
HD043264,13.47,11660,3.93,0,14741,3.63,-0.04,0.0584,-1.6613,7.2173,5.8023,-0.2712,0.0825,0.0593,-0.3464,5.7438,0.4047,0.0165,0.0199,0.1462,0.0046,0.0136,0.0436,0.0361,0.0812,0.4601,0.0039,0.0044,B9,B,E,1,0,0,3.63,-0.04
HD043285,28.74,13756,3,0,14416,3.63,-0.13,0.0372,-1.9162,7.4547,5.7613,-0.3028,0.4628,0.0143,-0.024,5.6846,0.3412,0.0181,0.0174,0.0057,-0.0116,0.0666,-0.0495,-0.0415,0.0241,0.2406,0.0104,0.005,B6Ve,B,C,1,0,0,3.63,-0.13
HD043285,28.74,13756,3,0,14719,3.63,-0.08,0.0204,-1.9462,7.5557,5.8629,-0.1001,0.4594,0.0339,-0.0946,5.7349,0.3547,0.0113,0.0118,0.0194,0.0147,0.1146,0.0111,0.037,-0.003,0.0288,0.0022,0.0035,B6Ve,B,C,1,0,0,3.63,-0.08
HD043286,39,15518,3,0,14658,3.65,-0.07,0.0044,-1.9558,7.3632,5.6958,-0.093,0.5946,-0.0129,-0.0625,5.6076,0.4725,0.0127,0.0133,0.0482,-0.008,0.0393,0.0315,0.049,-0.0121,-0.063,0.0025,0.0014,B2/3V,B,D,1,0,0,3.65,-0.07
HD043318,-40.08,6212,4.08,-0.18,6086,3.79,-0.17,0.3958,2.8307,1.2073,2.4017,1.2459,0.4118,2.0821,1.3113,3.5574,3.1383,0.0108,0.0557,1.0475,1.261,0.935,0.5024,0.3425,0.1086,1.0035,0.0043,0.0028,F5V,F,C,1,2,0,3.79,-0.17
HD043338,-4.77,6625,3.71,0.04,7247,4.15,-0.45,0.3273,0.4017,6.2031,5.3959,0.4893,0.3885,2.0314,0.5059,5.6714,3.1128,-0.0028,0.0389,0.4871,1.2255,0.9963,0.3872,0.278,0.0741,0.5359,0.0017,0.004,F0,F,E,1,0,0,4.15,-0.45
HD043021,9.69,7822,3.85,-0.63,7592,4.22,-0.59,0.1314,-2.021,10.8768,7.4024,-1.8836,0.0016,0.417,-0.4014,6.8962,0.4235,-0.0088,0.0155,0.6702,0.1908,0.1423,0.0195,0.0491,0.0587,0.43,0.0008,0.0033,A2III,A,C,1,0,0,4.22,-0.59
HD043338,-4.77,6625,3.71,0.04,7268,4.15,-0.45,0.3025,0.3414,6.1767,5.3621,0.3256,0.2861,2.0901,0.4337,5.6191,3.0309,0.002,0.0442,0.4815,1.199,1.0526,0.328,0.2484,0.1283,0.8903,0.0053,0.0033,F0,F,E,1,0,0,4.15,-0.45
HD043523,-16.18,5994,4.28,0,6006,4.16,-0.03,0.6134,3.7698,-0.7874,1.3085,2.2944,0.5657,2.2117,2.1489,3.339,3.4244,0.0056,0.0814,2.0421,1.7669,1.2952,0.6941,0.5539,0.1789,0.7867,0.0069,0.0041,F5,F,E,1,0,0,4.16,-0.03
HD043526,40.91,16327,3.8,0,15310,3.56,0.01,0.0247,-1.6178,6.9587,5.5628,-0.1359,0.3613,0.0516,-0.0551,5.4564,0.3989,0.0176,0.0205,0.0515,0.0144,0.1535,-0.0067,-0.0051,0.0047,0.1834,0.0057,0.0041,B5V:,B,D,1,0,0,3.56,0.01
HD043588,49.13,3960,1.53,0,3766,1.71,0.05,1.7395,3.4755,-6.92,-2.0706,7.1528,2.3785,5.4342,9.557,0.8449,7.601,0.2211,0.4294,4.9459,4.0568,4.2946,3.1662,1.0456,1.425,5.2459,0.1456,0.3497,K5III,K,C,1,0,0,1.71,0.05
HD043776,-15.16,4329,2.14,-0.16,4472,1.99,-0.07,1.0223,5.8202,-8.5104,-2.5097,6.4744,1.7521,3.9355,6.6375,1.1283,6.3514,0.0878,0.2048,2.9301,3.6286,3.0312,2.2393,1.5265,1.0224,3.1575,0.0126,0.0365,K0III,K,C,1,0,0,1.99,-0.07
HD043856,-56.94,6122,4.1,-0.19,6021,3.93,-0.26,0.5335,3.0205,0.6436,2.0293,1.3292,0.4325,1.8835,1.2409,3.3204,2.7422,0.0099,0.0651,1.38,1.2524,1.0182,0.5252,0.4046,0.1467,0.8995,0.0055,0.0051,F6V,F,C,1,2,0,3.93,-0.26
HD043947,40.51,5955,4.34,-0.28,5932,4.18,-0.32,0.5453,3.931,-1.217,1.0266,2.1713,0.4713,1.9396,1.2962,2.9385,2.8909,0.0066,0.0769,2.0154,1.5149,1.0026,0.5947,0.4929,0.0759,0.9349,0.0079,0.0057,F8V,F,C,1,3,0,4.18,-0.32
HD044109,27.02,11360,3.93,0,10773,3.94,-0.37,0.0452,-2.7074,10.8121,7.8305,-1.1981,0.0036,0.108,-0.2332,7.7733,0.2767,0.0129,0.0195,0.1481,0.0524,0.0863,0.0428,0.0356,0.0048,0.3252,0.0059,0.0048,B9V,B,D,1,0,0,3.94,-0.37
HD044195,7.52,6900,3.96,0.03,7288,4.24,-0.08,0.2858,-0.6056,7.9661,6.057,-0.5196,0.1956,1.4399,-0.0459,6.1067,1.994,-0.0045,0.0312,0.5607,0.9244,0.7916,0.3343,0.163,0.0576,0.6492,-0.001,0.0017,F0,F,E,1,0,0,4.24,-0.08
HD044256,43.06,4436,1.47,-0.2,4207,1.86,-0.09,1.664,5.5186,-8.7328,-2.7529,7.2706,2.0047,4.4327,7.9972,0.5926,6.0666,0.1765,0.3085,3.676,3.8601,3.4962,2.7028,1.4367,1.2251,3.6873,0.0164,0.0647,K2/3III,K,D,1,0,0,1.86,-0.09
HD044274,13.19,4122,0.5,0,3181,0.26,-0.08,4.1507,3.8552,-6.0226,-2.0783,3.5388,3.126,4.7761,17.8915,3.6276,17.3505,0.0198,0.4507,10.4578,3.1928,2.1608,1.9014,-0.4485,0.1827,3.7558,0.3691,0.7134,M4III,M,C,1,0,0,0.26,-0.08
HD044333,-26.24,7602,3.89,-0.63,7638,4.09,-0.55,0.2579,-0.9534,9.6394,6.7727,-1.3672,0.0377,1.2261,0.0155,6.5899,1.6983,-0.0069,0.0343,0.7844,0.8184,0.7398,0.1986,0.1646,0.1012,0.6689,0.0013,0.0024,A4/5IV,A,D,1,0,0,4.09,-0.55
HD044515,-23.09,4346,1.53,-0.03,4155,2.22,0.08,2.7795,5.9454,-10.6619,-3.231,8.3578,2.2049,4.6226,8.528,0.7048,6.7448,0.2109,0.3608,4.253,4.1238,4.0911,2.8591,1.609,1.4236,5.0387,0.0345,0.0793,K0,K,E,1,0,0,2.22,0.08
HD044602,-19.41,8320,3.91,-0.5,8773,3.69,-1.1,0.1699,-2.6199,13.0682,8.6032,-2.4637,-0.0815,0.7051,-0.3869,8.284,0.9206,-0.006,0.0229,0.6184,0.4018,0.3771,0.0708,0.0168,0.0014,0.6111,0.0084,0.0018,A2III,A,C,1,0,0,3.69,-1.1
HD044614,32.65,5816,4.17,0,5881,4.24,0.1,0.5528,4.7602,-2.6182,0.2675,3.3854,0.7569,2.5229,3.3362,3.1053,4.0747,0.0151,0.1049,2.4787,2.0477,1.6771,0.8192,0.5182,0.323,1.2076,0.0068,0.0042,G0,G,E,1,0,0,4.24,0.1
HD044769,13.4,7300,3.57,-2.64,7728,3.65,-2.1,0.2183,-1.411,10.4984,7.4208,-1.1364,0.0287,1.1568,-0.2718,7.3865,1.4745,-0.0043,0.0323,0.6698,0.6897,0.6121,0.1144,0.0243,0.0126,0.7487,0.0078,0.0027,A8V(n),A,C,1,0,0,3.65,-2.1
HD044783,3,10651,3.53,0,16655,3.05,0,0.061,-1.2114,6.6733,5.445,-0.0499,0.0195,0.2525,-0.599,4.7728,0.3715,0.0175,0.0246,0.1943,-0.0023,0.1436,-0.0228,-0.0621,0.0015,0.4671,0.0096,0.0048,B8Vn,B,C,1,0,0,3.05,0
HD044947,43.65,8067,4.04,0.4,8742,3.63,0.95,-0.902,-1.8797,12.362,8.4571,-2.4623,0.3549,1.3521,-0.4458,8.3804,2.1071,-0.0227,0.0101,0.1075,0.7872,0.9345,0.6933,0.0918,0.8372,0.4553,-0.0081,0.0063,ApSrEuCr,A,D,1,0,0,3.63,0.95
HD045152,-13.18,4738,2.62,-0.03,4898,2.82,-0.01,0.633,5.7828,-6.6374,-1.7362,4.9889,1.3185,3.3612,5.9364,1.7011,5.7488,0.0467,0.1494,2.5946,2.9741,2.4851,1.6723,1.2411,0.6879,2.1719,0.0079,0.0162,G8III,G,C,1,0,0,2.82,-0.01
HD045196,27.16,7060,3.83,-0.5,7404,4.08,-0.57,0.2284,-0.4591,7.162,5.8452,0.0518,0.1927,1.7033,0.0816,6.1132,2.5671,-0.0088,0.0306,0.4846,1.0519,0.9029,0.2619,0.1692,0.119,0.9884,0.0007,0.0066,A9V,A,C,1,0,0,4.08,-0.57
HD045211,20.36,4770,2.78,0.04,4971,1.78,-0.32,0.293,6.2321,-6.3568,-1.4295,4.1705,1.2543,3.5248,4.9476,1.7748,6.1391,0.0361,0.1056,1.3772,2.6708,2.0933,1.3773,1.1411,0.6284,1.2523,0.0029,0.0169,G8III,G,C,1,0,0,1.78,-0.32
HD045317,26.47,4541,2.71,0,4704,2.63,0.05,0.7338,6.1359,-8.6263,-2.5488,6.202,1.5258,3.6295,7.1057,1.4346,6.2403,0.0676,0.1826,2.997,3.368,2.82,1.9654,1.3464,0.8527,1.8971,-0.0038,0.0238,K0III,K,C,1,0,0,2.63,0.05
HD045355,4.37,4049,1.53,0,3830,1.54,-0.26,2.6361,4.8134,-7.6095,-2.0362,6.4954,2.3144,4.9232,6.5249,0.6733,6.0756,0.2258,0.4005,4.4647,3.4248,3.5347,2.6327,1.0625,1.2096,3.8935,0.1067,0.2996,K5,K,E,1,0,0,1.54,-0.26
HD045391,-5.35,5707,4.46,-0.37,5717,4.43,-0.5,0.5916,4.8368,-3.4682,-0.5007,2.8553,0.5055,1.9869,1.4082,2.3595,2.845,0.0111,0.0992,2.6736,1.6449,1.2257,0.6471,0.432,0.181,1.0135,0.0117,0.0041,G1V,G,C,1,2,0,4.43,-0.5
HD045415,52.47,4805,2.76,0.1,4740,2.53,-0.12,0.795,6.2376,-7.8321,-2.4018,5.4875,1.4254,3.4905,5.7771,1.3843,5.6613,0.0592,0.1646,2.7667,2.9838,2.4588,1.7669,1.2342,0.7732,1.5745,0.0035,0.0196,G8III,G,C,1,2,0,2.53,-0.12
HD045416,31.83,4500,1.96,-0.15,4720,2.04,0.17,0.4763,6.5569,-8.8413,-2.3655,6.2729,1.7113,4.1258,7.8595,1.6422,7.7279,0.063,0.1613,2.1708,3.5799,2.9657,2.1448,1.4296,1.0296,2.4725,0.0048,0.0314,K1II,K,C,1,1,0,2.04,0.17
